NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,267,229,180,180,189
ELC,104,89,71,79,83
ELG,87,73,70,69,62
ELN,102,85,73,78,82
JCC,277,210,201,199,208
JGE,246,206,181,180,183
JGH,99,92,77,80,81
JGL,67,51,46,52,55
JGP,184,155,135,139,140
JJE,208,180,145,145,152
JML,94,83,78,75,74
JMO,44,38,34,34,36
JPE,214,173,150,155,158
JPL,181,155,129,132,133
LJA,283,238,195,195,203
LJI,45,44,38,34,36
LJJ,43,40,35,35,35
LJL,227,200,167,167,175
LUC,318,271,222,225,233
LUH,261,211,175,181,183
LUN,77,69,59,62,58
