NAME,DEV,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,17,87,36,4,6,7
ELC,3,37,17,5,8,11
ELG,3,27,10,5,5,5
ELN,4,33,11,4,5,9
JCC,6,83,16,3,4,10
JGE,20,72,22,3,5,6
JGH,3,33,21,7,12,12
JGL,4,21,6,4,4,7
JGP,5,58,22,5,8,10
JJE,8,70,30,4,5,10
JML,13,26,11,5,4,6
JMO,2,13,5,4,5,5
JPE,9,69,28,5,5,9
JPL,6,60,26,6,8,10
LJA,7,95,39,5,5,9
LJI,2,15,11,4,4,4
LJJ,2,13,5,5,5,6
LJL,3,72,31,5,8,12
LUC,8,108,42,4,9,12
LUH,4,89,29,3,5,8
LUN,3,25,13,6,7,8
,2,13,5,3,4,4
,6,53,21,5,6,8
,5,30,11,1,2,2
,20,108,42,7,12,12
