NAME,MQ,MDL,CRG-25,CRG-50,CRG-75
AEP,5,4,1,1,3
ELC,5,4,1,2,3
ELG,5,4,3,2,1
ELN,5,4,1,2,3
JCC,5,4,2,1,3
JGE,5,4,2,1,3
JGH,5,4,1,2,3
JGL,5,2,1,3,4
JGP,5,4,1,2,3
JJE,5,4,1,1,3
JML,5,4,3,2,1
JMO,5,4,1,1,3
JPE,5,4,1,2,3
JPL,5,4,1,2,3
LJA,5,4,1,1,3
LJI,5,4,3,1,2
LJJ,5,4,1,1,1
LJL,5,4,1,1,3
LUC,5,4,1,2,3
LUH,5,4,1,2,3
LUN,5,4,2,3,1
