0,project,baseline_type,compare_type
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkNotFoundException to com.google.cloud.tools.managedcloudsdk.install.ExtractorProvider>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.PathResolver to com.google.cloud.tools.managedcloudsdk.ProgressListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkOutOfDateException to com.google.cloud.tools.managedcloudsdk.install.PosixUtil>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileException to com.google.cloud.tools.project.ProjectIdValidator>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileParseException to com.google.cloud.tools.managedcloudsdk.install.ZipExtractorProvider>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkVersionFileNotFoundException to com.google.cloud.tools.managedcloudsdk.install.DownloaderFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.JsonParseException to com.google.cloud.tools.managedcloudsdk.install.Downloader>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.install.Downloader>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.process.ProcessExecutor$ProcessBuilderFactory>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.ChildProgressListener>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.internal.process.ProcessBuilderFactory to com.google.cloud.tools.appengine.configuration.VersionsListConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.internal.process.ExitCodeRecorderProcessExitListener to com.google.cloud.tools.appengine.configuration.VersionsListConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.internal.process.WaitingProcessOutputLineListener to com.google.cloud.tools.appengine.configuration.VersionsListConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine.operations.cloudsdk.internal.process>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.internal.args.GcloudArgs to com.google.cloud.tools.managedcloudsdk.OsInfo$Name>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.internal.args.AppCfgArgs to com.google.cloud.tools.managedcloudsdk.install.FileResourceProviderFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.internal.args.DevAppServerArgs to com.google.cloud.tools.managedcloudsdk.OsInfo$Architecture>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.internal.args.Args to com.google.cloud.tools.managedcloudsdk.OsInfo>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine.operations.cloudsdk.internal.args>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine.operations.cloudsdk.internal>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessHandler to com.google.cloud.tools.managedcloudsdk.install.FileResourceProvider>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.ProcessHandlerException to com.google.cloud.tools.managedcloudsdk.install.FileResourceProviderFactory$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.process.StringBuilderProcessOutputLineListener to com.google.cloud.tools.managedcloudsdk.components.WindowsBundledPythonCopier>,aep-core-0.10.0,original,hmd
