Iteration;ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
2;_b01-joda-money-2.0.3 29C.odem;0;28;13;2.7777;8;184;false
2;_b01-moquette-broker-0.19 204C.odem;0;204;110;24.3960;40;183;false
2;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;39;13.2982;7;180;false
2;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;68;15.9509;14;179;false
2;_b01-jgit-http-6.8.0 61C.odem;0;61;30;10.6159;6;179;false
2;_b01-log4j-api-2.21.1 189C.odem;0;181;94;21.3581;31;177;false
2;_b01-jgit-lfs-6.8.0 41C.odem;0;41;22;4.6996;7;176;false
2;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;28;4.9765;10;175;false
2;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;13;5.4026;6;175;false
2;_b01-aep-core-0.10.0 162C.odem;0;162;92;28.0249;24;173;false
2;_b01-jgit-ssh-6.8.0 100C.odem;0;98;54;15.4371;11;172;false
2;_b01-log4j-jpa-2.21.1 26C.odem;0;23;12;4.4921;6;171;false
2;_b01-jmetal-auto-6.2.2 69C.odem;0;69;37;4.5775;7;170;false
2;_b01-gson-2.10.1 212C.odem;0;212;101;18.5608;49;169;false
2;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;74;18.7022;16;166;false
2;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;25;6.4777;8;165;false
2;_b01-scribejava-apis-8.3.4 175C.odem;0;175;110;68.5811;26;165;false
2;_b01-lucene-luke-11.0.0 278C.odem;0;277;144;31.2440;97;161;false
2;_b01-jmetal-component-6.2.2 132C.odem;0;132;36;11.3806;17;158;false
2;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;35;6.6393;9;157;false
2;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;41;13.2534;6;156;false
2;_b01-javacc-7.0.14 190C.odem;0;190;85;12.9851;40;155;false
2;_b01-jgit-pgm-6.8.0 121C.odem;0;121;65;11.8495;13;153;false
2;_b01-lucene-codecs-11.0.0 208C.odem;0;207;109;29.1900;44;151;false
2;_b01-jmetal-lab-6.2.2 54C.odem;0;54;23;6.1514;9;149;false
2;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;109;28.7537;41;147;false
2;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;72;17.0225;16;146;false
2;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;70;15.2923;23;145;false
2;_b01-javaGeom-0.11.3 159C.odem;0;159;74;11.6174;33;141;false
3;_b01-joda-time-2.14.0 248C.odem;0;248;109;18.3792;76;137;false
3;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;84;22.7021;26;135;false
